iter	Passed	Remaining
0	30	8974
1	56	8468
2	83	8285
3	111	8217
4	138	8156
5	164	8076
6	192	8057
7	219	8007
8	244	7892
9	268	7780
10	293	7700
11	319	7664
12	347	7678
13	377	7712
14	403	7657
15	429	7624
16	458	7626
17	485	7606
18	512	7582
19	539	7555
20	566	7526
21	593	7502
22	621	7487
23	648	7457
24	677	7449
25	706	7443
26	735	7438
27	767	7451
28	796	7441
29	824	7417
30	852	7401
31	878	7356
32	904	7321
33	932	7298
34	956	7244
35	985	7226
36	1014	7211
37	1041	7183
38	1068	7153
39	1095	7118
40	1120	7077
41	1147	7049
42	1173	7014
43	1202	6994
44	1229	6967
45	1252	6917
46	1277	6876
47	1305	6854
48	1331	6822
49	1359	6795
50	1386	6768
51	1412	6735
52	1438	6703
53	1462	6663
54	1490	6637
55	1517	6612
56	1547	6597
57	1577	6580
58	1607	6565
59	1635	6541
60	1661	6508
61	1688	6481
62	1714	6450
63	1740	6418
64	1768	6394
65	1795	6366
66	1822	6339
67	1852	6318
68	1876	6282
69	1900	6244
70	1924	6208
71	1949	6174
72	1975	6142
73	2001	6111
74	2028	6086
75	2058	6066
76	2090	6054
77	2121	6039
78	2149	6013
79	2175	5983
80	2201	5952
81	2225	5917
82	2250	5883
83	2277	5857
84	2302	5824
85	2326	5789
86	2348	5750
87	2373	5717
88	2398	5685
89	2422	5652
90	2447	5622
91	2472	5589
92	2506	5579
93	2533	5551
94	2558	5521
95	2582	5487
96	2609	5460
97	2638	5438
98	2663	5407
99	2691	5382
100	2714	5347
101	2739	5318
102	2765	5288
103	2792	5263
104	2819	5235
105	2845	5208
106	2870	5177
107	2900	5156
108	2926	5127
109	2954	5103
110	2979	5072
111	3006	5046
112	3031	5016
113	3058	4990
114	3086	4964
115	3114	4940
116	3140	4912
117	3166	4883
118	3191	4854
119	3218	4828
120	3245	4800
121	3272	4774
122	3306	4758
123	3334	4732
124	3359	4703
125	3386	4677
126	3427	4669
127	3452	4639
128	3476	4608
129	3498	4574
130	3521	4542
131	3544	4511
132	3569	4482
133	3592	4450
134	3616	4420
135	3639	4388
136	3664	4360
137	3689	4331
138	3714	4302
139	3739	4274
140	3763	4243
141	3785	4212
142	3810	4183
143	3834	4154
144	3858	4124
145	3887	4100
146	3912	4071
147	3939	4045
148	3967	4021
149	3994	3994
150	4019	3966
151	4043	3937
152	4069	3909
153	4093	3880
154	4117	3851
155	4140	3822
156	4167	3795
157	4194	3769
158	4219	3742
159	4245	3714
160	4269	3686
161	4292	3656
162	4316	3628
